GSM110625	GSM110626	GSM110627	GSM110628	GSM110629	GSM110630	GSM110631	GSM110632	GSM110633	GSM110634	GSM110635	GSM110636	GSM110637	GSM110638	GSM110639	GSM110640	GSM110641	GSM110642	GSM110643	GSM110644	GSM110645	GSM110646	GSM110647	GSM110648	GSM110649	GSM110650	GSM110651	GSM110652	GSM110653	GSM110654	GSM110655	GSM110656	GSM110657	GSM110658	GSM110659	GSM110660	GSM110661	GSM110662	GSM110663	GSM110664	GSM110665	GSM110666	GSM110667	GSM110668	GSM110669	GSM110670	GSM110671	GSM110672	GSM110673	GSM110674	GSM110675	GSM110676	GSM110677	GSM110678	GSM110679	GSM110680	GSM110681	GSM110682	GSM110683	GSM110684	GSM110685	GSM110686	GSM110687	GSM110688	GSM110689	GSM110690	GSM110691	GSM110692	GSM110693	GSM110694	GSM110695	GSM110696	GSM110697	GSM110698	GSM110699	GSM110700	GSM110701	GSM110702	GSM110703	GSM110704	GSM110705	GSM110706	GSM110707	GSM110708	GSM110709	GSM110710	GSM110711	GSM110712	GSM110713	GSM110714	GSM110715	GSM110716	GSM110717	GSM110718	GSM110719	GSM110720	GSM110721	GSM110722	GSM110723	GSM110724	GSM110725	GSM110726	GSM110727	GSM110728	GSM110729	GSM110730	GSM110731	GSM110732	GSM110733	GSM110734	GSM110735	GSM110736	GSM110737	GSM110738	GSM110739	GSM110740	GSM110741	GSM110742	GSM110743	GSM110744	GSM110745	GSM110746	GSM110747	GSM110748	GSM110749	GSM110750	GSM110751	GSM110752	GSM110753	GSM110754	GSM110755	GSM110756	GSM110757	GSM110758	GSM110759	GSM110760	GSM110761	GSM110762	GSM110763	GSM110764	GSM110765	GSM110766	GSM110767	GSM110768	GSM110769	GSM110770	GSM110771	GSM110772	GSM110773	GSM110774	GSM110775	GSM110776	GSM110777	GSM110778	GSM110779	GSM110780	GSM110781	GSM110782	GSM110783	GSM110784	GSM110785	GSM110786	GSM110787	GSM110788	GSM110789	GSM110790	GSM110791	GSM110792	GSM110793	GSM110794	GSM110795	GSM110796	GSM110797	GSM110798	GSM110799	GSM110800	GSM110801	GSM110802	GSM110803	GSM110804	GSM110805	GSM110806	GSM110807	GSM110808	GSM110809	GSM110810	GSM110811	GSM110812	GSM110813	GSM110814	GSM110815	GSM110816	GSM110817	GSM110818	GSM110819	GSM110820	GSM110821	GSM110822	GSM110823	GSM110824	GSM110825	GSM110826	GSM110827	GSM110828	GSM110829	GSM110830	GSM110831	GSM110832	GSM110833	GSM110834	GSM110835	GSM110836	GSM110837	GSM110838	GSM110839	GSM110840	GSM110841	GSM110842	GSM110843	GSM110844	GSM110845	GSM110846	GSM110847	GSM110848	GSM110849	GSM110850	GSM110851	GSM110852	GSM110853	GSM110854	GSM110855	GSM110856	GSM110857	GSM110858	GSM110859	GSM110860	GSM110861	GSM110862	GSM110863	GSM110864	GSM110865	GSM110866	GSM110867	GSM110868	GSM110869	GSM110870	GSM110871	GSM110872	GSM110873
GPLD1	5.144278	4.113487	4.064727	4.434124	4.722341	4.686743	4.402221	4.144627	4.465285	4.302359	4.98287	5.11101	5.114649	4.209819	4.574255	4.299622	4.486852	4.588641	4.714262	4.431161	4.204069	4.845489	4.584246	4.290647	4.334469	4.556076	5.370789	3.910325	4.369259	3.749714	4.677095	4.855082	4.914291	4.052133	5.05217	4.864119	4.41284	5.108343	4.500154	5.223695	4.466213	4.811195	4.926292	4.542831	4.596581	4.542409	5.018497	4.873861	4.884665	4.340142	4.922889	4.738643	4.653131	4.540128	4.048235	4.682997	4.8075	4.488071	4.436364	4.624406	4.267609	4.597344	4.5903	5.150962	4.56183	4.874922	4.812844	4.617263	4.955095	4.76504	4.732117	4.894774	4.872305	4.455735	5.013299	4.588166	4.594413	3.834997	4.511063	4.692414	4.541437	4.764476	4.873745	4.214817	4.243859	4.662472	4.48225	4.754563	4.438762	4.549944	4.746977	4.97851	5.24294	4.223175	4.57449	4.611302	4.771938	4.76793	3.90161	4.801571	4.387753	4.870941	4.016028	4.642656	4.3394	4.11264	4.326987	4.453196	4.367227	5.041835	4.629667	4.220844	4.155743	5.111036	4.638887	5.106554	4.427804	4.424933	4.251448	5.074137	4.37695	4.3135	4.355174	4.554783	4.406553	4.118273	4.121174	4.903548	4.251468	4.442028	4.614693	4.85798	4.917309	4.998919	3.989416	4.241506	4.600417	4.804364	4.458395	4.598571	4.776168	4.72337	4.810087	4.328065	4.514259	4.911496	4.022484	4.612158	4.660195	4.499995	4.515829	4.96662	5.217648	4.682841	4.622432	4.849796	4.640805	4.477458	4.124045	4.572678	4.275871	4.540064	4.398321	4.708194	4.676743	4.626561	4.604711	4.80144	4.517074	5.005596	4.935113	4.541949	4.522346	4.023263	4.045479	3.979859	4.178892	4.500843	4.285168	4.933573	4.635491	4.404027	4.80406	4.714825	4.339114	4.92379	4.33457	4.308029	4.299497	4.791808	4.773627	4.740043	4.520621	3.93472	4.437194	4.918972	4.083137	4.952301	3.973367	4.675205	4.182637	4.87002	4.747131	4.16911	4.398978	4.884604	4.319655	4.342384	4.923957	4.720569	4.618263	4.475659	4.911044	4.847052	4.718584	4.875276	5.484031	4.187563	4.739915	4.73648	4.805493	4.650431	4.31776	4.456149	4.856599	5.212734	4.446974	4.16111	4.651022	4.226772	4.644897	4.786505	4.447443	4.300738	4.578979	5.088115	4.633453	4.2559	4.922048	5.453208	4.892905	4.625044	4.556412	4.858207	4.23148	4.626691	4.861096	5.061429	3.859448
HDAC2	7.170799	9.158471	8.931571	8.885654	8.267576	7.968372	8.066351	8.127736	8.738819	8.043064	8.08971	7.606003	7.873355	8.025839	7.778239	7.962208	7.913712	8.255687	7.536391	8.003805	7.816706	7.733889	7.745256	8.001921	8.302248	7.67673	7.990558	7.693007	7.831045	8.517368	8.19737	7.817503	7.740779	8.918022	8.130978	7.695077	7.517997	8.052652	8.082701	8.852788	8.133938	8.016438	7.946601	7.970223	7.93396	8.030735	7.662388	7.447076	7.838825	7.710898	8.486193	7.636431	7.195225	7.819816	7.848767	7.954571	8.163167	8.353879	8.240181	7.893354	7.824594	7.706167	7.869252	7.755238	8.024286	7.705338	8.332052	8.06389	8.286728	8.798626	8.257354	7.280618	7.268157	8.264963	8.990072	8.034099	8.558614	8.053664	8.337819	6.993823	7.898918	8.313677	7.512741	7.64836	7.688037	7.840292	8.168693	7.635695	7.886486	7.751948	7.959011	7.397965	7.53697	7.707587	7.33863	8.007331	9.09638	7.664851	8.150576	7.439383	7.580591	7.057301	7.640168	8.037306	8.041283	7.963483	7.794336	7.399371	8.427261	8.215002	7.679137	8.072021	8.361297	7.7489	7.636664	8.149672	9.195113	8.027233	8.354916	7.670276	7.679501	7.712822	7.716822	8.089144	8.01987	7.746942	7.85875	7.813989	7.59532	7.42326	7.094483	7.530162	8.094752	7.746088	7.988265	8.049903	7.676314	8.269027	7.680832	8.009974	7.646035	7.354619	8.094958	8.697373	7.947724	7.787784	7.697371	8.355834	7.804116	7.89691	7.296083	7.842877	7.747793	7.790356	8.2359	9.670918	8.424733	8.768436	8.171157	8.013515	7.809753	8.343438	7.431261	7.609887	8.5033	7.980458	8.166542	7.772948	8.107243	7.351466	8.641994	7.313995	7.894525	7.737517	8.031991	8.491734	7.798239	8.334798	7.937572	7.291167	7.655416	8.140092	9.007151	7.939584	7.919294	8.401861	9.045726	8.754641	7.544387	8.377983	7.437789	7.680746	7.687895	8.274345	8.007014	8.146316	7.975042	7.739729	7.946437	7.821926	7.801624	7.998603	8.032451	8.456116	8.011664	7.064917	8.057251	8.115519	7.781449	7.883422	8.368887	8.328032	8.211635	7.697166	8.016433	7.837127	7.636138	7.606195	8.767754	7.369522	8.486495	7.885127	8.896287	8.286396	8.421824	7.573319	8.120975	8.2576	8.388203	8.144077	7.886648	8.067742	8.161983	7.827543	7.826542	8.764977	8.21932	7.786658	8.289339	9.199941	7.800163	7.794758	8.347879	7.540848	8.267505	7.930199	8.273897	7.664518	8.105817
HLA-F	8.301839	8.695056	8.672329	8.886875	8.894713	7.925426	7.940967	8.691891	8.787351	7.838399	8.882525	7.549466	8.080016	8.264976	8.601963	7.985617	8.648546	8.685593	8.124096	8.162873	8.46145	8.921219	8.30703	7.993271	9.053121	8.656698	7.656255	8.135292	8.389138	9.178325	8.217123	8.372336	8.981132	9.178228	8.473617	7.952856	8.124681	7.953396	8.451866	8.201867	8.317633	8.413673	8.158916	8.808014	8.74629	8.391004	8.351085	8.359244	8.346817	8.63397	8.454451	9.041995	8.464627	8.245243	8.532845	8.163869	7.880175	8.307708	8.773381	8.403037	8.298566	8.262253	8.169241	8.062	8.02589	8.278654	8.140395	8.58646	7.981561	9.203215	8.604698	8.414702	8.583333	8.568635	8.23341	9.287875	8.811085	8.579128	8.480029	8.421174	9.348052	8.968327	8.066354	8.28128	7.911508	8.200777	8.571949	9.472802	8.610392	7.862675	8.259316	8.311632	8.588095	8.222908	8.624414	8.363528	7.632159	8.01076	7.966803	8.495738	8.390228	8.861619	8.698893	8.205732	8.483748	8.157272	8.193733	9.0355	7.772915	8.133663	8.004668	8.459372	9.083271	8.401079	8.539899	7.619599	7.753405	8.318088	8.485293	8.175766	8.13007	9.163028	7.914205	8.534706	8.388474	8.554465	9.122839	7.833374	8.583205	8.34242	8.37759	8.896877	8.195964	8.338706	7.921296	8.963997	7.949055	8.901446	8.729598	9.287665	8.167119	8.059002	8.210896	8.265468	8.504778	8.481445	8.251684	9.074723	8.617568	7.820569	8.411189	7.979474	8.300754	8.17978	9.33556	8.85536	9.287303	8.502594	8.297431	8.517998	8.392275	8.153973	8.286211	8.967385	8.318703	8.341343	7.917671	8.409544	8.519681	8.618231	8.971078	8.227687	8.245899	8.254618	8.304557	9.288987	8.143521	8.096012	8.311786	8.985115	8.619609	8.291373	8.710527	8.17251	7.855205	8.77749	8.540825	8.169034	9.118602	8.679683	8.251916	8.870419	8.163063	8.495709	8.057321	8.482028	8.016011	8.375956	8.451837	8.366765	8.647205	8.016461	8.238894	7.958201	9.292692	7.942086	9.032793	8.40766	8.753705	7.976126	8.115944	8.777315	7.633528	8.437593	8.316673	8.867792	7.885147	8.216005	9.434498	8.694473	8.78022	8.190153	8.433607	8.198463	8.182214	7.921488	9.165743	8.743118	8.50146	8.786342	8.148096	8.703718	8.428867	9.343364	8.561309	7.104085	7.790772	7.968125	7.422154	7.739643	8.899921	8.477852	8.959223	7.996379	8.92386	8.552431	8.042271	8.094771	8.906696
IKZF3	5.460831	4.461051	5.249867	5.177117	3.766236	4.646621	5.202352	5.156778	5.367821	4.416363	4.578805	5.72545	5.421004	3.763069	5.051562	5.555751	5.097954	5.904933	6.076561	5.643421	3.527737	5.496608	5.349064	4.459007	5.894154	5.116994	4.867712	4.947437	4.571089	5.323789	5.388469	5.231054	5.711835	4.829589	3.394393	5.395217	4.796261	4.651235	5.134774	5.539939	4.606376	5.113511	3.835023	3.471348	3.595427	4.918169	5.352054	3.645024	3.940515	5.780012	4.832315	5.573266	5.224306	5.707105	5.198266	4.884124	5.571326	4.987672	5.066522	5.010969	5.514535	4.928072	3.627185	4.974034	4.938487	4.763968	3.594076	3.595534	4.572265	5.290799	5.163694	5.460438	3.814372	5.240989	5.89094	5.95051	5.80148	4.063654	5.37422	5.992893	5.224583	3.200503	5.269236	5.723222	5.146838	4.869622	4.810055	5.355726	4.441138	3.219443	5.051652	4.447671	5.953053	3.368113	3.749579	4.656174	4.942545	4.274657	3.665665	5.060864	5.276684	5.632775	5.813657	4.35763	5.421038	3.881777	4.525284	5.179343	4.670512	5.896352	5.448797	3.838516	5.403595	5.48478	5.617835	4.936665	4.670768	4.524364	5.253102	5.124681	4.384715	4.901467	3.744074	5.3575	4.827328	4.870637	5.097256	5.164071	4.344928	3.239438	5.373737	5.289752	5.184632	5.11168	4.5509	5.482912	5.017398	5.552572	5.335264	5.477362	3.543852	3.678788	4.390254	5.022027	5.336092	4.592532	3.110191	5.387276	5.284226	5.510449	3.760581	5.246915	5.578381	4.581	4.988921	3.751112	5.212084	4.561106	5.151443	5.464464	5.342727	5.483404	5.898631	5.324724	5.16696	5.253652	4.713496	5.108329	4.802567	3.89341	5.515223	5.417523	5.365763	4.890322	4.740155	5.07343	5.507379	5.775554	5.011305	3.817191	4.991864	5.31668	5.790681	3.709261	3.405591	5.56789	3.542437	5.871391	4.950933	5.567495	4.108906	4.657805	5.145734	4.971438	5.287141	5.474942	5.515586	5.243422	5.626983	5.397333	5.582256	3.804137	4.934692	3.891709	5.559056	5.963651	4.344591	5.293761	5.016877	4.477575	5.575567	5.001357	5.452286	3.840612	3.773803	4.490531	5.87407	5.355198	6.235619	5.581109	5.005751	5.31059	5.661756	5.588782	5.471791	5.349018	5.728443	5.455271	5.176123	5.150485	5.301685	5.366247	5.290851	5.004526	3.858732	4.871231	3.560477	5.51985	5.359838	4.978948	5.108787	5.321486	5.323734	5.116613	3.38853	3.653616	3.984339	5.30738	5.551389
IL16	6.626454	5.670495	6.342605	6.331249	6.443428	6.359693	6.19867	5.584133	6.2523	6.104569	6.302779	6.124105	6.489675	6.17405	6.046532	5.862665	6.284619	6.350858	6.343669	5.754639	6.184896	6.392578	6.330529	5.81466	6.74232	6.404298	5.638711	6.532673	6.568075	6.20899	6.372087	6.702031	6.696765	6.262931	6.558664	5.747303	6.408878	6.34388	6.416757	5.973838	6.009061	6.372665	6.097563	6.937781	5.579476	6.635662	6.572021	6.471532	6.444637	6.153567	6.140605	6.874984	6.294542	5.45947	6.352266	6.096303	6.088808	5.082834	6.25479	6.431722	6.489376	5.86255	5.943249	6.576788	6.183944	6.311746	5.540345	6.531334	6.114581	6.490566	6.242448	6.539115	6.174425	5.704331	5.968842	7.113753	6.433525	5.919679	6.38715	6.085653	7.764799	5.620352	5.989567	6.193543	5.982712	6.287678	6.657025	7.502897	6.321924	5.954434	6.48896	6.419433	6.47434	5.958447	5.90802	6.286355	5.582768	5.865028	5.526875	5.947351	6.613941	6.465639	6.663545	6.04921	5.991271	6.192684	6.218141	6.993365	5.851913	6.011981	6.662721	6.166585	6.105225	6.156828	5.665626	5.907959	5.725582	6.240138	6.073714	6.427474	6.472683	6.45535	6.030123	6.606185	6.506625	6.202171	6.85388	5.495515	6.362516	5.988548	6.023316	6.588689	5.879913	6.089097	6.252079	5.964173	6.469665	6.769677	6.391287	6.88355	6.200293	5.974554	5.990707	5.689658	6.646933	6.500052	6.423277	6.760491	6.449216	6.265156	5.426203	6.166578	6.347256	5.686688	6.419648	5.445599	7.05455	6.338921	5.442529	6.053428	5.553734	6.197086	6.425734	6.76095	6.129692	6.303785	6.200856	6.238124	6.218359	5.964701	5.734843	6.02331	6.346068	6.499373	5.711001	6.769572	6.205103	6.166224	6.124729	6.312611	5.976003	6.350953	6.271016	6.202968	6.056427	6.138535	6.050903	6.053693	6.761744	6.187657	6.552251	6.771369	6.135854	6.591379	6.230026	6.621463	5.847466	6.634119	6.271527	6.541882	6.750299	6.067143	5.986675	6.02336	7.566543	5.93282	7.181453	6.591505	6.625042	6.065882	5.751251	6.194096	6.2038	6.465431	5.737339	6.399559	6.410759	6.07613	5.457218	6.535025	6.896009	6.10146	5.681938	5.765834	6.666495	5.791375	7.154431	7.254146	6.654172	6.276616	6.308383	6.083906	6.522109	6.443919	6.135569	6.21439	6.217402	5.846069	5.829426	5.891992	6.964441	6.212578	6.773779	6.449523	6.79197	6.146985	6.253549	6.580665	6.603443
IL2RG	6.832098	6.855593	7.53708	7.620438	7.611477	6.423294	6.77518	6.802079	7.266596	6.589406	7.072942	6.205409	7.082924	6.960971	6.702646	6.661533	7.000752	7.398966	6.921836	6.234227	7.465441	7.599119	7.166712	6.61302	7.638012	7.120047	6.489416	6.727302	7.232161	8.172387	7.240731	7.410004	7.704509	7.349106	8.012271	7.027362	7.109064	6.572227	6.952379	6.916235	7.061012	6.772668	6.492798	7.896957	7.196503	6.942372	6.897593	7.074047	6.765934	7.203933	7.675347	7.957967	7.084637	7.041485	7.420847	6.566605	7.134019	6.977854	7.62117	7.169709	6.799775	6.871868	6.976074	6.757021	6.727335	6.59533	6.778325	7.21801	7.062527	8.2798	6.048592	7.490378	7.085375	6.711904	6.338097	8.55597	7.484203	7.113158	7.472079	6.923765	9.013506	7.317221	6.482928	6.995369	6.727551	6.856857	7.849197	9.126945	7.194586	6.760401	7.173547	7.140296	7.219942	6.428224	6.618607	7.107846	6.329203	6.57021	6.6063	6.650997	6.783044	7.961329	6.910486	6.35492	6.568119	6.904198	6.954396	7.408063	6.373786	6.38714	7.940942	7.274657	8.026362	6.884142	6.75466	6.600014	6.510368	6.843949	7.102923	7.523545	6.935104	7.150882	6.464326	7.783238	7.509212	7.351665	8.183768	6.778394	7.189391	6.856224	6.728171	7.984117	6.383654	6.136047	6.402273	7.580734	7.133276	7.443833	7.412979	7.984846	7.12397	6.211832	6.600228	6.808965	7.267532	7.335619	6.73392	7.675043	7.152927	7.409753	6.425138	6.206174	7.169156	6.744368	7.797108	6.73823	8.394524	7.195742	7.237959	6.910013	6.825139	6.352843	7.052797	8.379088	7.401882	7.048161	6.803987	6.965387	7.306161	6.949516	6.618393	6.698842	6.993571	7.323403	7.156704	8.500133	7.029657	7.22639	6.382317	7.319392	6.319915	7.167175	7.146735	6.977203	6.548759	6.816107	6.916175	6.514032	8.420353	7.467106	7.119933	7.203282	6.63238	6.677323	7.059238	7.812936	6.756981	7.167972	6.892385	6.856327	7.476982	6.961769	6.804028	6.757441	8.769974	6.921653	8.190365	7.643832	7.820955	6.920995	7.111064	7.498324	6.455568	7.201465	7.231733	7.646727	6.913076	7.077781	6.870137	8.108308	8.006067	6.697151	7.132341	7.382002	7.062749	6.596659	8.101619	8.071195	7.329083	6.579812	6.808712	7.861566	7.696358	7.65151	6.934356	6.478815	6.268982	6.70769	6.183708	6.697078	7.594142	6.913198	8.169663	7.08726	8.204408	7.207712	7.237957	7.306764	8.033013
JUN	8.208104	7.536375	7.231344	7.583909	7.99209	7.647647	7.853384	7.508758	7.063259	7.944811	6.3303	7.50138	7.645934	8.288454	7.608208	7.661226	8.766836	7.876274	8.510185	8.055007	7.644556	7.515818	8.050233	7.321388	7.809306	8.812521	7.753593	8.874209	8.621431	7.797215	7.39225	7.999339	7.273487	7.744261	7.166518	8.62837	7.948849	8.294109	8.858255	7.959236	7.387186	8.498542	8.02417	8.648526	8.006397	8.395416	8.229042	7.973397	7.064983	7.644832	7.236521	7.838182	7.32845	8.095306	8.58946	9.08201	7.479822	7.663439	8.014427	8.49928	9.000145	8.252762	7.990348	8.224209	8.047448	7.841562	7.693637	8.293343	8.694455	7.359043	8.08734	8.397433	8.561502	7.759346	7.636931	7.911473	7.193975	7.991981	7.561665	7.9853	7.336301	7.276103	8.242594	8.135457	7.48648	7.607321	7.593907	7.747766	8.048693	6.828308	8.281205	8.148924	8.150684	8.608006	7.023574	8.005864	8.151769	7.674528	7.776583	7.193192	8.15593	7.782388	8.025212	7.539302	7.846171	8.879624	8.028303	7.394575	8.576616	8.475216	8.16967	7.836577	7.649081	8.628726	7.412487	7.552313	7.913256	8.321684	7.525172	8.678065	7.974136	8.164221	8.610838	8.218804	7.770218	8.196582	7.689722	7.093513	7.501873	8.550572	7.476312	7.391338	7.45043	7.762585	7.854362	7.318016	8.311355	7.594067	7.814684	7.668487	7.900754	8.372871	7.208093	7.582797	8.280264	8.408207	9.016597	8.833015	8.657745	8.289895	8.976827	7.677401	7.649887	7.131378	7.101862	7.334194	7.626085	7.986908	7.842368	8.644416	8.876503	7.301987	7.961729	7.820548	7.186953	7.902832	8.304429	8.002287	8.127911	8.823909	8.004575	8.316464	9.37333	7.679304	8.570497	7.300903	7.651203	8.472768	8.291222	8.176793	7.535055	8.197434	7.618917	8.212785	8.375981	7.55766	8.2327	8.44997	7.114673	7.642052	8.697166	7.968916	8.233096	7.511729	8.28888	7.658509	7.865045	8.385358	7.513398	8.109648	8.422175	8.071992	7.728851	8.349328	7.951428	8.353596	8.0114	7.802135	7.605133	7.42121	7.869771	7.625799	7.701734	8.520304	7.676586	7.598408	7.911415	7.468312	7.270302	7.847802	7.829406	8.22656	7.548333	7.738565	7.519149	6.947389	7.549999	7.731421	8.209743	7.977737	7.330212	7.304823	8.554189	7.516191	7.424209	8.821563	7.906603	7.685213	7.919356	7.860355	7.278033	7.952047	7.582265	8.525958	7.63582	8.405096	7.975649	7.678671	7.641479
LEF1	5.259944	5.606512	5.003554	5.051807	5.805946	5.747968	5.33917	5.226092	4.150071	5.204582	5.58552	5.381759	5.774054	5.021274	5.159704	4.981194	6.602419	5.631374	5.316313	6.824221	5.500441	6.695918	5.753026	5.512331	5.489187	6.523738	5.015664	5.261995	5.803791	5.9129	5.788095	5.587135	6.259235	5.308973	5.501679	5.88717	5.423129	5.990268	5.47076	5.09907	5.142376	5.658996	5.575731	5.474495	6.589477	5.156722	6.10621	6.098046	5.669124	6.142577	5.830489	6.177631	7.22926	5.289181	5.606512	5.01401	5.381226	5.539752	5.731899	5.946219	5.937617	5.433598	5.495371	5.290809	4.684803	5.53171	5.397844	4.661561	5.063099	5.143709	5.167138	5.895209	5.395817	5.297969	5.67124	5.867292	5.272624	6.545029	5.579675	5.430951	6.272492	5.478404	5.750662	5.924476	5.189076	5.824399	5.69643	5.888071	6.167384	5.155668	5.301652	5.473945	5.716175	5.538605	5.472393	5.535861	5.092542	6.831969	5.007477	5.066337	5.286542	6.029766	5.819892	6.379826	6.481316	5.749611	4.900376	6.011975	5.61253	5.019956	4.918991	5.553886	4.651176	5.491353	5.58629	5.28556	5.096126	6.424142	5.382207	6.327392	5.079577	5.6029	4.632442	5.240395	5.780214	5.898221	5.850531	5.170906	6.529364	5.850232	5.310098	5.631815	5.877188	6.567267	5.748847	4.765891	5.123061	5.040785	5.455092	5.100278	5.098466	6.27978	5.356246	5.095622	5.870485	5.275016	5.373464	5.621474	5.705581	5.84511	5.168336	5.331734	5.48565	5.693582	5.786887	5.092027	5.993143	5.410945	5.783863	5.426896	5.527169	4.919074	5.480405	5.835953	5.316366	5.090435	6.47862	6.202969	5.374506	5.259837	5.818339	5.81374	6.072205	6.039965	5.643881	5.670635	5.158804	5.321136	6.283086	5.750192	5.306253	5.28704	5.465352	5.984289	5.172525	5.642322	5.300635	4.939324	6.113577	5.051404	5.467527	6.079583	5.831649	5.448017	5.912173	5.507816	5.293677	5.461747	5.377719	6.212178	6.085523	5.454102	4.857313	4.998019	5.680836	5.225554	6.020218	5.838356	6.523215	5.286165	5.426751	5.295853	5.459518	5.673605	4.106295	5.388732	5.681789	6.168622	5.22471	5.535238	5.540007	5.849965	5.413752	5.363408	5.542059	5.616559	5.392965	5.623532	5.609318	5.391547	5.30301	5.264443	5.142554	5.645867	5.772683	5.885963	5.121903	5.141483	3.946961	4.884878	5.812601	5.630648	5.765521	5.838404	5.799254	5.287388	6.089827	4.711488	5.241439
MAK	5.538134	4.326471	5.24839	4.027387	3.549309	6.157051	5.68599	4.708533	3.151466	6.145769	3.102095	4.618504	6.48751	3.298805	5.63826	2.871324	3.797856	3.450735	6.662998	5.566344	4.786321	3.709294	5.60868	4.300331	3.95199	5.563449	5.107274	4.959629	6.650766	6.447045	4.092008	5.012112	2.963604	2.863194	5.726535	5.045494	3.308914	6.639621	3.620409	4.766087	4.121718	3.249524	5.187497	5.227958	6.355442	5.172722	3.54793	5.57201	5.628684	3.348979	5.153596	3.464084	5.307636	3.037405	4.596091	6.01727	6.451969	5.91725	4.671623	6.301667	5.098481	5.630607	4.798337	4.707215	4.761505	5.038231	4.536411	3.276626	3.382267	5.304772	2.797705	4.85411	5.358204	6.141018	3.617861	5.101188	5.46945	5.125831	6.144168	3.791362	5.477686	5.600188	3.859039	3.540872	5.617149	5.234026	5.608602	5.374495	5.004339	3.236449	5.149788	4.322725	4.233133	4.1698	3.688881	3.598821	5.76791	4.511708	4.441502	3.623113	4.678096	3.003403	4.322207	4.743072	3.273081	3.379051	5.493943	4.31987	3.843482	6.311098	6.374729	5.171182	3.543551	5.402977	3.969082	5.247405	6.369082	3.075445	3.522238	5.433582	3.389603	5.70005	5.437709	3.212844	4.383992	3.063322	5.56824	6.191818	3.202382	6.438093	3.456395	3.653657	5.501328	2.919633	5.781144	3.153023	5.598044	3.645806	4.694162	3.15403	5.751576	6.233536	6.102595	2.725621	3.152007	4.98831	5.123734	3.158896	3.294348	3.740399	5.748869	4.68834	5.313575	5.296033	5.313292	3.169518	3.628816	3.889105	5.689256	3.37719	5.125567	3.55144	3.749577	3.400443	3.879706	5.465248	5.361736	4.953584	5.111213	4.388727	4.387282	4.036669	4.308229	4.940719	6.029103	3.606124	5.404026	5.302493	5.172445	4.092466	6.803507	4.027104	5.682816	5.486149	6.510233	2.951603	3.854519	4.17666	4.998885	3.401325	4.469966	3.257101	5.193419	5.281068	5.477978	3.984229	5.402299	3.45539	2.991583	3.916301	5.893716	5.055989	3.892504	3.323885	3.625943	2.580733	5.168156	5.249146	3.154604	6.394974	3.647682	4.595605	4.020614	4.127245	5.125233	4.232087	6.142891	5.273085	2.933789	4.291302	5.765379	5.680815	3.369379	3.441837	6.563737	3.252728	4.995606	3.548067	5.086519	4.609633	5.050131	5.295747	4.33079	4.766082	4.122219	4.776901	5.29607	2.952007	3.772515	5.056038	5.153011	3.25742	4.051477	5.414585	3.425857	5.863382	4.457427	4.992645	5.674583
MED17	6.470187	7.500115	7.158859	6.735822	6.90493	6.792905	6.416674	7.349998	6.828555	6.909073	6.838417	6.57917	6.592764	7.084317	6.772367	7.079579	6.471335	6.918582	7.143633	6.81353	7.113605	6.678463	6.933553	6.845744	6.753813	6.306577	6.790635	7.646874	6.879855	6.945327	6.415618	7.350167	6.45237	8.157804	6.653634	6.910634	6.366831	5.915187	7.248429	7.012507	6.868305	6.920167	6.716596	6.797868	6.989852	7.078456	6.76892	6.876244	6.371737	5.943323	7.493175	7.10243	6.648236	6.93445	7.288447	7.245953	7.283983	7.261228	7.60314	6.979041	6.427995	7.110189	6.925877	7.655833	6.579972	6.494905	6.579209	7.129828	7.297896	7.068612	7.038621	6.025244	6.653338	7.412029	6.987568	6.969655	7.432556	6.488687	6.962729	5.778311	7.243483	6.686144	6.002609	6.601167	7.686669	6.937597	7.425839	6.619137	6.944505	7.255712	6.398533	6.593637	7.029952	6.926771	6.84324	7.172896	6.906203	6.845413	7.549578	7.248189	6.986095	6.440619	7.043582	7.285	7.180402	7.218159	7.11343	6.678667	6.770068	7.119109	6.295172	6.775119	7.693113	6.813964	7.023733	7.259807	7.045692	6.962701	6.580271	6.762924	7.072571	6.900549	7.50376	6.699915	7.251129	6.59465	6.394856	7.124936	6.738979	7.148688	6.924077	7.196885	7.229356	7.193945	6.931735	6.568545	6.783939	6.516051	7.011719	6.852063	7.06162	6.730425	7.172552	6.951668	6.879575	6.746419	5.914572	6.738592	6.593231	6.96352	6.989656	6.869455	6.713004	6.768375	7.112853	8.195083	7.166672	6.991073	6.757606	7.343417	6.417831	7.160356	6.12211	6.560937	7.067257	7.207436	6.914033	6.609589	7.107355	7.117333	6.939752	6.377191	7.000916	7.325452	6.020575	7.0548	6.814872	7.33735	7.34989	6.314335	6.987998	6.790428	7.076861	6.720512	7.062981	6.84434	6.976644	7.134646	6.450904	6.730786	6.980754	6.993263	6.644669	6.873383	6.956094	6.839261	7.408661	6.802494	6.64045	7.025095	7.100266	6.827891	6.354171	7.191361	6.82617	6.564632	7.016849	7.445834	6.435394	7.045868	7.137628	7.554274	5.753365	5.665206	7.215646	6.702622	6.116821	6.690513	7.485532	6.58565	6.985406	6.882351	6.968538	6.936538	6.927382	6.354865	7.022878	7.012188	6.870412	7.317846	6.995965	6.747762	6.98558	6.319246	6.737273	6.844204	7.19959	7.041625	7.453701	7.539006	6.638157	6.470524	7.165326	6.346197	6.824267	6.870542	6.140207	6.342658	6.651848
